Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,29,29.000,3608,16798,23784,34560,30233,68385,160327,195182,195182
1,93,93.000,1152,6173,8953,10657,11996,17175,26868,78256,78256
2,53,53.000,1994,7183,11165,28178,23082,35094,47816,556163,556163
3,38,38.000,2124,4552,7321,12836,10583,22506,66884,92039,92039
4,193,193.000,1096,2172,3946,5065,5439,10431,13421,31716,33001
5,231,231.000,1127,1753,3405,4288,5360,7972,10714,16903,34312
6,235,235.000,929,1508,3079,4227,4852,8642,11180,22449,67407
7,297,297.000,767,1258,2443,3325,4184,7039,9082,13226,24028
8,362,362.000,685,1126,1944,2743,3507,4898,7301,13830,19868
9,327,327.000,610,1147,2380,3029,3775,6354,8850,11715,20602
10,364,364.000,485,1029,2024,2701,3352,5183,7190,11716,29393
11,483,483.000,487,811,1507,2049,2603,3431,5542,9176,33653
12,472,472.000,490,824,1745,2099,2719,3516,5197,9606,30770
13,490,490.000,434,750,1410,2026,2579,3287,5293,9974,40032
14,529,529.000,413,767,1473,1871,2497,3172,4732,7116,17066
15,526,526.000,480,722,1191,1881,2341,3257,5094,9082,25831
16,472,472.000,579,736,1521,2099,2508,4350,6831,10000,23305
17,282,282.000,560,964,1918,3598,3562,6772,9835,30026,106922
18,456,456.000,501,778,1421,2154,2602,3649,5993,15309,23046
19,472,472.000,388,752,1538,2069,2540,4033,6284,9992,26739
20,481,481.000,507,759,1616,2063,2533,3556,5488,10961,26463
21,511,511.000,403,767,1481,1957,2546,3703,5295,7571,23964
22,523,523.000,402,717,1517,1878,2450,3139,4793,8148,20393
23,544,544.000,336,731,1479,1826,2587,3095,3715,5566,38319
24,501,501.000,384,767,1219,2155,2633,3615,5240,9613,105547
25,477,477.000,361,783,1532,1888,2695,3288,4889,8419,10492
26,475,475.000,419,784,1576,2092,2688,3433,5537,10787,22887
27,503,503.000,347,765,1291,1979,2537,3376,4996,7697,55239
28,443,443.000,456,841,1597,2249,2950,3982,5788,12527,21196
29,477,477.000,354,785,1345,2077,2806,4460,5578,8104,17993
30,531,531.000,372,757,1631,1876,2623,3220,4953,6055,17607
31,578,578.000,352,717,1030,1718,2460,3105,4919,5823,13531
32,421,421.000,321,790,1676,2361,2881,4357,5578,10645,76740
33,523,523.000,444,791,1599,1901,2775,3402,3849,5974,12859
34,473,473.000,413,774,1388,2103,2652,3576,5349,8932,81975
35,587,587.000,342,730,1446,1691,2444,3016,3312,5519,10305
36,374,374.000,505,940,2024,2653,3432,5096,6461,16498,23545
37,489,489.000,378,841,1493,2035,2805,3707,5435,7214,16778
38,495,495.000,380,818,1552,2010,2960,3651,5379,6366,9505
39,568,568.000,365,753,1135,1750,2403,3258,4122,6451,16440
40,523,523.000,341,752,1325,1896,2602,3601,5165,7168,15565
41,492,492.000,446,792,1695,2024,2833,3439,5102,7044,22066
42,419,419.000,460,788,1483,2360,2663,3422,5003,6329,172046
43,463,463.000,397,771,1508,2146,2769,3795,5468,11509,47250
44,518,518.000,383,771,1428,1917,2532,3632,5135,6511,17833
45,433,433.000,410,850,1549,2294,2860,4000,5507,10439,59727
46,513,513.000,441,778,1427,1937,2793,3496,5199,6343,12377
47,518,518.000,394,753,1566,1924,2666,3324,4648,8029,21114
48,427,427.000,385,817,1731,2326,2892,3898,6472,13172,31053
49,483,483.000,356,816,1599,2059,2766,3629,5212,8240,19302
50,528,528.000,427,733,1386,1883,2572,3313,5154,8329,23963
51,472,472.000,367,790,1640,2107,2951,3688,5079,12462,29406
52,520,520.000,385,772,1594,1912,2693,3402,3924,6025,19660
53,500,500.000,358,753,1548,1990,2718,3432,5189,8441,21488
54,599,599.000,311,702,960,1664,2482,3099,3667,5392,19164
55,482,482.000,360,774,1514,2057,2625,3279,3968,9285,86024
56,508,508.000,354,774,1669,1961,2736,3283,4256,6306,17730
57,517,517.000,320,762,1546,1921,2645,3373,5137,6276,22334
58,563,563.000,333,727,1397,1769,2543,3158,4979,5843,10221
59,572,572.000,399,726,1235,1707,2504,3075,3554,5825,8407
