Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,41.200,15.272,2.583,4.638,7.333,13.421,25.910,33.001,160.327,556.163,0.065
5,127.400,4.606,1.671,2.993,3.867,5.083,7.301,9.538,13.437,67.407,0.217
10,208.000,2.918,1.370,2.046,2.527,3.054,3.901,5.788,10.020,30.770,0.343
15,189.800,3.077,1.330,1.919,2.408,2.951,4.942,7.298,17.089,30.026,0.325
20,229.000,2.764,1.237,1.935,2.414,2.893,3.280,3.997,9.613,105.547,0.362
25,211.800,3.016,1.384,2.050,2.628,3.194,4.021,5.410,13.125,55.239,0.332
30,225.600,2.756,1.388,2.040,2.554,3.047,3.514,3.984,6.411,81.975,0.363
35,220.600,2.797,1.446,2.089,2.648,3.165,3.738,4.248,6.645,23.545,0.357
40,211.800,2.756,1.331,2.023,2.574,3.097,3.613,3.942,7.485,47.250,0.363
45,213.600,3.035,1.395,2.143,2.666,3.218,3.713,4.743,13.449,59.727,0.329
50,236.800,2.734,1.341,2.090,2.569,3.068,3.463,3.862,8.441,29.406,0.366
55,248.600,2.674,1.332,1.970,2.504,2.961,3.321,3.657,5.869,86.024,0.374
