Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.800,9.279,1.260,3.385,6.819,12.745,22.283,31.716,31.716,31.716,0.108
5,14.000,2.507,0.685,1.056,1.872,2.443,7.188,8.844,10.795,10.795,0.399
10,21.000,1.015,0.413,0.590,0.698,0.947,1.760,2.659,4.658,8.155,0.985
15,15.600,1.319,0.388,0.594,0.770,1.185,2.998,3.506,9.034,9.034,0.758
20,19.400,0.928,0.336,0.469,0.597,0.726,1.607,3.063,10.489,10.489,1.077
25,19.800,0.701,0.347,0.500,0.560,0.746,1.113,1.275,2.576,2.576,1.426
30,22.000,0.784,0.321,0.469,0.552,0.665,1.110,1.759,6.656,7.091,1.275
35,18.400,0.669,0.342,0.490,0.576,0.736,0.971,1.461,2.170,2.170,1.496
40,21.800,0.953,0.341,0.467,0.534,0.684,1.318,2.833,8.041,13.802,1.050
45,20.000,0.576,0.356,0.474,0.523,0.619,0.813,0.916,1.256,1.256,1.735
50,19.000,0.769,0.311,0.442,0.497,0.562,0.688,0.786,23.963,23.963,1.300
55,18.000,0.648,0.320,0.432,0.491,0.584,0.911,1.037,9.864,9.864,1.543
