Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.600,7.598,1.315,1.994,3.955,7.594,13.304,30.233,68.385,78.256,0.132
5,126.800,1.873,0.784,1.092,1.344,1.895,3.117,4.409,9.490,34.312,0.534
10,204.600,1.198,0.556,0.736,0.812,0.965,1.537,2.392,8.525,40.032,0.835
15,199.400,1.071,0.599,0.696,0.760,0.908,1.306,2.119,6.720,19.933,0.933
20,221.800,0.931,0.585,0.687,0.750,0.864,1.124,1.463,5.208,14.433,1.074
25,208.400,0.936,0.545,0.732,0.790,0.898,1.141,1.447,3.289,21.196,1.069
30,216.400,0.993,0.607,0.710,0.762,0.883,1.106,1.376,3.515,76.740,1.007
35,220.600,0.967,0.615,0.728,0.794,0.923,1.198,1.551,3.715,16.440,1.034
40,211.000,0.945,0.601,0.718,0.781,0.898,1.145,1.439,3.191,22.066,1.058
45,204.400,0.961,0.601,0.727,0.807,0.934,1.205,1.577,3.657,10.439,1.041
50,226.800,0.833,0.584,0.696,0.752,0.837,1.014,1.200,1.849,12.462,1.200
55,221.400,0.821,0.595,0.698,0.746,0.835,0.987,1.199,1.638,8.407,1.219
