Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,6.315,1.096,1.665,3.247,12.238,16.686,21.099,21.099,21.099,0.158
5,11.600,1.429,0.610,1.035,1.152,1.358,1.634,4.822,5.421,5.421,0.700
10,17.400,1.031,0.541,0.798,0.908,1.095,1.260,1.357,6.460,6.460,0.970
15,17.400,1.210,0.574,0.810,0.966,1.112,1.569,2.710,10.194,10.194,0.826
20,18.800,1.038,0.465,0.796,0.900,1.030,1.193,1.289,11.351,11.351,0.963
25,17.800,1.065,0.628,0.859,0.966,1.097,1.440,1.980,2.715,2.715,0.939
30,20.800,1.012,0.561,0.778,0.901,1.092,1.418,1.590,2.580,3.789,0.988
35,22.400,0.980,0.470,0.761,0.910,1.040,1.277,1.493,3.206,4.992,1.021
40,16.000,1.158,0.636,0.861,0.982,1.147,1.378,2.170,7.168,7.168,0.864
45,17.400,1.114,0.627,0.929,1.060,1.208,1.460,1.578,3.350,3.350,0.898
50,20.000,0.912,0.517,0.741,0.875,1.054,1.239,1.408,1.534,1.534,1.096
55,20.600,0.921,0.532,0.794,0.908,1.011,1.125,1.361,1.435,1.998,1.086
