Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.600,28.672,9.929,11.952,14.782,18.147,41.083,174.171,174.171,174.171,0.035
5,10.600,10.859,5.758,8.427,10.094,12.131,15.042,16.903,25.964,25.964,0.092
10,16.600,5.917,4.473,5.132,5.480,6.063,7.311,8.723,14.425,14.425,0.169
15,19.400,7.820,4.396,4.855,5.405,6.352,9.986,13.143,106.922,106.922,0.128
20,23.000,5.779,4.209,4.865,5.197,5.553,6.807,9.269,18.776,26.463,0.173
25,17.200,6.336,4.351,5.338,5.703,6.817,7.980,8.757,22.887,22.887,0.158
30,20.400,5.868,4.623,5.176,5.468,5.974,6.557,7.934,15.455,16.450,0.170
35,20.600,6.281,4.973,5.385,5.810,6.354,7.305,8.532,16.498,21.896,0.159
40,22.400,7.608,4.649,5.186,5.466,6.034,7.597,12.134,19.405,172.046,0.131
45,19.400,6.132,4.452,5.218,5.663,6.245,8.068,8.431,21.114,21.114,0.163
50,21.200,5.940,4.595,5.190,5.449,5.939,6.887,8.675,12.532,19.164,0.168
55,19.800,5.752,4.743,5.163,5.387,5.796,6.277,6.905,17.730,17.730,0.174
