Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1779320870.993722,160327,0,1
1,NewOrder,1779320871.155129,30776,0,1
1,NewOrder,1779320871.186966,23784,0,1
1,NewOrder,1779320871.210841,16798,0,1
3,OrderStatus,1779320871.227703,22283,0,1
5,StockLevel,1779320871.250073,16686,0,1
1,NewOrder,1779320871.266808,23884,0,1
2,Payment,1779320871.290772,68385,0,1
2,Payment,1779320871.359256,31462,0,1
2,Payment,1779320871.390855,38113,0,1
2,Payment,1779320871.429091,49819,0,1
2,Payment,1779320871.479004,30233,0,1
2,Payment,1779320871.509330,28350,0,1
5,StockLevel,1779320871.537752,21099,0,1
1,NewOrder,1779320871.558969,195182,0,1
3,OrderStatus,1779320871.754343,12745,0,1
1,NewOrder,1779320871.767168,22223,0,1
5,StockLevel,1779320871.789566,3608,0,1
1,NewOrder,1779320871.793328,25910,0,1
1,NewOrder,1779320871.819305,23807,0,1
1,NewOrder,1779320871.843175,19320,0,1
1,NewOrder,1779320871.862567,13597,0,1
3,OrderStatus,1779320871.876239,13856,0,1
2,Payment,1779320871.890157,5197,0,1
5,StockLevel,1779320871.895398,13576,0,1
1,NewOrder,1779320871.909031,27817,0,1
1,NewOrder,1779320871.936911,25891,0,1
3,OrderStatus,1779320871.963029,17350,0,1
1,NewOrder,1779320871.980473,20187,0,1
2,Payment,1779320872.000789,78256,0,1
1,NewOrder,1779320872.079156,42164,0,1
2,Payment,1779320872.121383,7594,0,1
2,Payment,1779320872.129060,11924,0,1
1,NewOrder,1779320872.141064,20539,0,1
1,NewOrder,1779320872.161685,26868,0,1
1,NewOrder,1779320872.188731,6709,0,1
1,NewOrder,1779320872.195492,11174,0,1
2,Payment,1779320872.206750,4305,0,1
3,OrderStatus,1779320872.211110,10047,0,1
2,Payment,1779320872.221249,7412,0,1
1,NewOrder,1779320872.228740,12151,0,1
1,NewOrder,1779320872.242100,8373,0,1
1,NewOrder,1779320872.250677,13057,0,1
1,NewOrder,1779320872.263959,17367,0,1
1,NewOrder,1779320872.281492,14844,0,1
2,Payment,1779320872.296439,13649,0,1
2,Payment,1779320872.310183,6940,0,1
1,NewOrder,1779320872.317182,11864,0,1
2,Payment,1779320872.329104,9780,0,1
1,NewOrder,1779320872.338969,12498,0,1
1,NewOrder,1779320872.351540,12628,0,1
2,Payment,1779320872.364241,8638,0,1
2,Payment,1779320872.372941,9618,0,1
2,Payment,1779320872.382598,3955,0,1
2,Payment,1779320872.386637,4713,0,1
1,NewOrder,1779320872.391384,11996,0,1
2,Payment,1779320872.403497,4553,0,1
3,OrderStatus,1779320872.408084,9255,0,1
2,Payment,1779320872.417438,11944,0,1
1,NewOrder,1779320872.429437,11104,0,1
1,NewOrder,1779320872.440589,11471,0,1
1,NewOrder,1779320872.452101,4883,0,1
1,NewOrder,1779320872.457022,15409,0,1
1,NewOrder,1779320872.472499,14189,0,1
2,Payment,1779320872.486790,3540,0,1
1,NewOrder,1779320872.490469,10901,0,1
2,Payment,1779320872.501420,1844,0,1
2,Payment,1779320872.503297,7166,0,1
2,Payment,1779320872.510496,2268,0,1
4,Delivery,1779320872.512797,41083,0,1
2,Payment,1779320872.554004,7907,0,1
5,StockLevel,1779320872.561960,12238,0,1
1,NewOrder,1779320872.574247,8465,0,1
2,Payment,1779320872.582756,9844,0,1
1,NewOrder,1779320872.592644,9383,0,1
1,NewOrder,1779320872.602089,7210,0,1
3,OrderStatus,1779320872.609353,6173,0,1
2,Payment,1779320872.615580,3168,0,1
1,NewOrder,1779320872.618788,7374,0,1
1,NewOrder,1779320872.626302,8979,0,1
1,NewOrder,1779320872.635357,12705,0,1
2,Payment,1779320872.648207,6871,0,1
1,NewOrder,1779320872.655157,8741,0,1
1,NewOrder,1779320872.663961,7981,0,1
4,Delivery,1779320872.671980,18147,0,1
2,Payment,1779320872.690179,4492,0,1
4,Delivery,1779320872.694732,17175,0,1
1,NewOrder,1779320872.712241,5365,0,1
4,Delivery,1779320872.717646,16901,0,1
1,NewOrder,1779320872.734595,7683,0,1
2,Payment,1779320872.742338,3225,0,1
5,StockLevel,1779320872.745650,9139,0,1
1,NewOrder,1779320872.754877,6452,0,1
3,OrderStatus,1779320872.761443,6819,0,1
1,NewOrder,1779320872.768340,12015,0,1
2,Payment,1779320872.780496,7492,0,1
1,NewOrder,1779320872.788099,17589,0,1
2,Payment,1779320872.805774,4004,0,1
1,NewOrder,1779320872.809905,6182,0,1
2,Payment,1779320872.816150,7336,0,1
2,Payment,1779320872.823540,4145,0,1
2,Payment,1779320872.827794,4325,0,1
2,Payment,1779320872.832157,3289,0,1
1,NewOrder,1779320872.835489,11477,0,1
1,NewOrder,1779320872.847008,9155,0,1
