Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,81.200,12.198,1.096,3.590,6.182,11.584,22.506,31.462,92.039,556.163,0.082
5,290.400,3.413,0.610,1.300,2.564,4.180,6.883,9.412,14.677,67.407,0.293
10,467.600,2.116,0.413,0.807,1.627,2.675,3.786,5.521,9.713,40.032,0.473
15,441.600,2.244,0.388,0.761,1.503,2.589,4.589,6.502,11.929,106.922,0.446
20,512.000,1.972,0.336,0.751,1.501,2.557,3.280,5.085,8.148,105.547,0.507
25,475.000,2.054,0.347,0.786,1.510,2.718,3.684,5.391,9.912,55.239,0.487
30,505.200,1.969,0.321,0.759,1.501,2.650,3.399,5.000,6.853,81.975,0.508
35,502.600,1.978,0.342,0.784,1.513,2.749,3.639,5.166,7.305,23.545,0.506
40,483.000,2.055,0.341,0.774,1.503,2.689,3.578,5.151,7.897,172.046,0.487
45,474.800,2.095,0.356,0.800,1.588,2.778,3.591,5.302,9.663,59.727,0.477
50,523.800,1.900,0.311,0.745,1.464,2.631,3.370,4.831,7.606,29.406,0.526
55,528.400,1.875,0.320,0.748,1.531,2.614,3.204,4.471,6.229,86.024,0.533
