Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1777781517.171658,9357,0,1
1,NewOrder,1777781517.181104,6489,0,1
2,Payment,1777781517.187637,2330,0,1
1,NewOrder,1777781517.190002,7487,0,1
4,Delivery,1777781517.197538,887382,0,1
1,NewOrder,1777781518.085040,1450114,0,1
2,Payment,1777781519.536219,18405,0,1
2,Payment,1777781519.555063,7756,0,1
2,Payment,1777781519.562875,5499,0,1
1,NewOrder,1777781519.568411,7820,0,1
2,Payment,1777781519.576272,5741,0,1
2,Payment,1777781519.582048,5213,0,1
2,Payment,1777781519.587297,6376,0,1
2,Payment,1777781519.593716,950,0,1
2,Payment,1777781519.594698,5319,0,1
2,Payment,1777781519.600051,1079,0,1
4,Delivery,1777781519.601161,855464,0,1
2,Payment,1777781520.456707,9861,0,1
2,Payment,1777781520.466618,6562,0,1
1,NewOrder,1777781520.473220,6544,0,1
2,Payment,1777781520.479798,5796,0,1
2,Payment,1777781520.485629,963,0,1
1,NewOrder,1777781520.486621,1435655,0,1
1,NewOrder,1777781521.923412,17152,0,1
1,NewOrder,1777781521.940869,5276,0,1
1,NewOrder,1777781521.946192,5018,0,1
5,StockLevel,1777781521.951240,52308,0,1
2,Payment,1777781522.003618,4932,0,1
1,NewOrder,1777781522.008607,5436,0,1
4,Delivery,1777781522.014078,855912,0,1
1,NewOrder,1777781522.870069,4083,0,1
2,Payment,1777781522.874201,10570,0,1
1,NewOrder,1777781522.884810,3034,0,1
1,NewOrder,1777781522.887877,1553905,0,1
1,NewOrder,1777781524.443029,11229,0,1
5,StockLevel,1777781524.454449,58043,0,1
4,Delivery,1777781524.512566,934240,0,1
2,Payment,1777781525.446920,3894,0,1
2,Payment,1777781525.450866,2019,0,1
1,NewOrder,1777781525.452928,6157,0,1
2,Payment,1777781525.459131,1519,0,1
1,NewOrder,1777781525.460683,4221,0,1
3,OrderStatus,1777781525.464948,64784,0,1
