Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.400,20.088,5.675,7.578,15.549,23.910,50.984,60.326,60.326,60.326,0.050
5,3.800,212.347,5.031,8.366,10.908,20.738,1480.973,2353.829,2353.829,2353.829,0.005
10,0.600,581.697,5.977,5.977,13.463,1725.651,1725.651,1725.651,1725.651,1725.651,0.002
15,1.600,262.505,3.830,5.460,7.729,33.513,2027.696,2027.696,2027.696,2027.696,0.004
20,1.800,165.230,4.099,4.570,5.415,10.590,1431.951,1431.951,1431.951,1431.951,0.006
25,2.800,270.967,2.312,3.506,5.318,6.381,1586.913,2138.680,2138.680,2138.680,0.004
30,3.000,198.575,2.154,5.640,8.799,11.753,1386.509,1493.037,1493.037,1493.037,0.005
35,4.800,185.721,2.884,4.007,5.196,10.054,1429.766,1440.463,1470.997,1470.997,0.005
40,2.600,115.693,2.354,3.672,5.702,7.508,11.681,1435.332,1435.332,1435.332,0.009
45,3.000,208.981,3.487,3.872,4.672,9.029,1513.297,1551.529,1551.529,1551.529,0.005
50,2.000,162.611,3.912,4.467,6.027,6.920,1577.647,1577.647,1577.647,1577.647,0.006
55,1.600,198.213,5.419,7.601,12.189,17.051,1510.793,1510.793,1510.793,1510.793,0.005
