Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,30.111,1.699,3.230,33.383,50.472,97.968,97.968,97.968,97.968,0.033
5,0.600,588.575,2.028,2.028,111.399,1652.297,1652.297,1652.297,1652.297,1652.297,0.002
10,3.800,87.549,1.102,2.153,10.588,14.655,23.051,1500.034,1500.034,1500.034,0.011
15,2.000,15.300,1.060,3.939,12.219,14.223,72.248,72.248,72.248,72.248,0.065
20,3.600,6.979,1.073,1.339,7.581,10.826,17.063,25.815,25.815,25.815,0.143
25,0.600,3.480,1.999,1.999,2.330,6.111,6.111,6.111,6.111,6.111,0.287
30,3.000,6.335,0.950,4.932,5.741,7.756,10.570,18.405,18.405,18.405,0.158
35,4.200,80.416,1.014,2.058,6.951,9.742,14.449,18.108,1554.847,1554.847,0.012
40,0.600,5.544,1.714,1.714,3.928,10.991,10.991,10.991,10.991,10.991,0.180
45,2.600,7.368,0.833,1.701,3.179,12.110,17.187,24.545,24.545,24.545,0.136
50,2.600,120.068,1.586,5.388,7.289,9.990,19.706,1467.279,1467.279,1467.279,0.008
55,1.600,10.224,1.104,9.015,11.070,14.874,16.160,16.160,16.160,16.160,0.098
