Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,206.695,206.695,206.695,206.695,206.695,206.695,206.695,206.695,206.695,0.005
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.600,85.651,77.003,77.003,82.796,97.153,97.153,97.153,97.153,97.153,0.012
25,0.200,172.780,172.780,172.780,172.780,172.780,172.780,172.780,172.780,172.780,0.006
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.800,65.430,55.810,64.303,64.784,76.822,76.822,76.822,76.822,76.822,0.015
40,0.200,87.891,87.891,87.891,87.891,87.891,87.891,87.891,87.891,87.891,0.011
45,0.400,56.987,54.184,54.184,59.790,59.790,59.790,59.790,59.790,59.790,0.018
50,0.600,51.305,49.650,49.650,50.517,53.749,53.749,53.749,53.749,53.749,0.019
55,0.600,60.816,56.136,56.136,60.889,65.422,65.422,65.422,65.422,65.422,0.016
