Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,188.942,188.942,188.942,188.942,188.942,188.942,188.942,188.942,188.942,0.005
10,0.200,76.072,76.072,76.072,76.072,76.072,76.072,76.072,76.072,76.072,0.013
15,0.200,101.386,101.386,101.386,101.386,101.386,101.386,101.386,101.386,101.386,0.010
20,0.600,57.989,51.079,51.079,59.135,63.754,63.754,63.754,63.754,63.754,0.017
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.400,55.176,52.308,52.308,58.043,58.043,58.043,58.043,58.043,58.043,0.018
35,0.200,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553,51.553,0.019
40,0.200,52.838,52.838,52.838,52.838,52.838,52.838,52.838,52.838,52.838,0.019
45,0.200,54.281,54.281,54.281,54.281,54.281,54.281,54.281,54.281,54.281,0.018
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
55,0.400,55.722,54.144,54.144,57.299,57.299,57.299,57.299,57.299,57.299,0.018
