Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.800,163.591,1.823,7.344,23.239,40.187,71.690,1869.113,2368.838,2368.838,0.006
5,10.200,129.952,1.090,8.366,12.310,20.076,121.333,1480.973,2353.829,2353.829,0.008
10,2.200,386.219,3.782,9.094,13.559,848.834,1287.862,1725.651,1725.651,1725.651,0.003
15,3.200,238.052,1.511,6.307,17.988,293.511,923.014,2027.696,2027.696,2027.696,0.004
20,7.400,148.213,0.892,4.268,7.580,12.048,751.224,1431.951,1519.190,1519.190,0.007
25,5.800,212.384,0.911,4.303,5.701,11.250,770.970,1586.913,2138.680,2138.680,0.005
30,6.000,132.487,1.005,3.895,8.799,11.753,779.413,1386.509,1493.037,1493.037,0.008
35,8.000,134.647,1.230,4.044,6.374,12.905,761.471,1440.463,1470.997,1470.997,0.007
40,5.800,162.202,0.914,4.665,7.508,13.379,799.036,1435.332,1449.110,1449.110,0.006
45,6.400,125.699,0.665,3.514,5.551,9.029,50.523,1513.297,1551.529,1551.529,0.008
50,5.600,241.993,0.972,4.967,7.228,44.225,782.660,1577.647,2592.010,2592.010,0.004
55,3.600,97.372,0.773,5.419,12.118,15.047,58.267,1510.793,1510.793,1510.793,0.010
