Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.000,5.728,1.193,1.873,3.310,7.173,12.657,12.994,31.278,31.278,0.175
5,14.200,2.173,0.554,0.958,1.298,2.255,5.103,7.077,12.342,12.342,0.460
10,20.600,1.237,0.449,0.635,0.793,1.017,1.754,2.451,8.530,16.902,0.809
15,19.800,1.135,0.365,0.523,0.596,0.973,2.593,3.186,12.973,12.973,0.881
20,20.400,0.898,0.360,0.532,0.598,0.836,1.674,2.082,4.854,8.796,1.113
25,25.000,0.718,0.356,0.489,0.555,0.676,1.123,1.590,2.210,5.434,1.392
30,22.600,0.582,0.352,0.448,0.515,0.586,0.854,1.294,1.447,1.452,1.719
35,18.400,0.878,0.334,0.454,0.556,0.746,1.154,1.569,9.615,9.615,1.140
40,16.000,1.016,0.443,0.569,0.641,0.812,1.571,3.170,8.649,8.649,0.984
45,15.200,0.664,0.377,0.504,0.596,0.744,0.863,1.261,1.678,1.678,1.506
50,20.000,0.612,0.358,0.473,0.514,0.611,0.763,1.290,3.020,3.020,1.633
55,19.200,0.612,0.385,0.486,0.541,0.643,0.783,1.070,2.401,2.401,1.634
