Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.200,18.984,9.292,14.520,15.800,16.527,35.365,38.537,51.516,51.516,0.053
5,13.400,10.056,5.091,7.229,9.032,12.246,14.819,15.976,26.857,26.857,0.099
10,16.800,6.574,4.903,5.517,6.042,6.562,8.257,10.477,19.933,19.933,0.152
15,21.800,5.835,4.671,5.294,5.506,5.882,6.975,8.537,11.573,12.642,0.171
20,22.600,6.227,4.761,5.304,5.518,5.959,7.228,8.529,13.292,42.658,0.161
25,23.200,5.685,5.019,5.293,5.492,5.776,6.160,6.936,11.217,11.440,0.176
30,19.400,5.799,4.989,5.289,5.431,5.794,6.381,8.532,16.815,16.815,0.172
35,21.400,6.357,4.612,5.222,5.550,6.121,7.756,10.935,19.725,19.774,0.157
40,15.600,9.755,5.049,5.761,6.349,7.997,16.552,23.158,100.730,100.730,0.103
45,17.800,7.681,5.148,5.650,6.023,7.011,12.790,16.414,39.188,39.188,0.130
50,18.400,6.531,4.810,5.565,6.016,6.729,8.295,10.094,14.591,14.591,0.153
55,21.400,6.819,5.126,5.484,5.776,6.359,6.902,9.864,13.556,77.283,0.147
