Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.600,4.105,0.923,1.369,2.011,4.182,14.646,15.438,25.818,25.818,0.244
5,12.200,1.165,0.571,0.942,1.172,1.396,1.523,1.671,1.852,1.852,0.858
10,19.200,1.029,0.529,0.839,0.945,1.102,1.332,1.443,4.942,4.942,0.972
15,18.000,0.906,0.499,0.747,0.859,0.977,1.153,1.462,2.497,2.497,1.104
20,17.800,1.039,0.503,0.785,0.879,1.025,1.322,1.619,7.975,7.975,0.962
25,22.200,0.831,0.488,0.707,0.813,0.923,1.121,1.198,1.309,1.315,1.203
30,21.200,0.869,0.454,0.702,0.799,0.889,0.995,1.109,1.596,8.006,1.150
35,21.800,0.926,0.531,0.748,0.823,1.022,1.333,1.577,2.262,2.389,1.079
40,17.200,1.286,0.498,0.864,1.082,1.400,1.777,2.328,6.832,6.832,0.778
45,18.600,1.150,0.615,0.860,1.005,1.173,1.550,2.093,6.276,6.276,0.870
50,22.000,0.997,0.571,0.781,0.938,1.090,1.339,1.701,2.227,3.285,1.003
55,15.200,0.994,0.554,0.835,0.965,1.127,1.304,1.446,1.776,1.776,1.006
