Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1779576773.859352,9434,0,1
1,NewOrder,1779576773.868844,225786,0,1
2,Payment,1779576774.100063,24378,0,1
2,Payment,1779576774.124596,2696,0,1
2,Payment,1779576774.127329,2011,0,1
5,StockLevel,1779576774.129373,15438,0,1
2,Payment,1779576774.144877,2037,0,1
4,Delivery,1779576774.146948,16527,0,1
2,Payment,1779576774.163534,3444,0,1
2,Payment,1779576774.167030,2216,0,1
2,Payment,1779576774.169278,3009,0,1
1,NewOrder,1779576774.172319,4453,0,1
1,NewOrder,1779576774.176803,4506,0,1
2,Payment,1779576774.181375,2491,0,1
2,Payment,1779576774.183898,2183,0,1
1,NewOrder,1779576774.186132,3816,0,1
2,Payment,1779576774.189980,2552,0,1
1,NewOrder,1779576774.192568,7827,0,1
1,NewOrder,1779576774.200449,5241,0,1
2,Payment,1779576774.205722,7725,0,1
2,Payment,1779576774.213482,5473,0,1
1,NewOrder,1779576774.218988,5713,0,1
2,Payment,1779576774.224733,4436,0,1
4,Delivery,1779576774.229206,15338,0,1
1,NewOrder,1779576774.244582,9996,0,1
1,NewOrder,1779576774.254634,7575,0,1
1,NewOrder,1779576774.262263,4395,0,1
2,Payment,1779576774.266690,5488,0,1
1,NewOrder,1779576774.272248,7242,0,1
2,Payment,1779576774.279547,2536,0,1
1,NewOrder,1779576774.282135,12046,0,1
1,NewOrder,1779576774.294265,10035,0,1
1,NewOrder,1779576774.304380,6885,0,1
2,Payment,1779576774.311950,3659,0,1
1,NewOrder,1779576774.315780,12489,0,1
3,OrderStatus,1779576774.328405,31278,0,1
2,Payment,1779576774.359789,3775,0,1
1,NewOrder,1779576774.363689,14286,0,1
2,Payment,1779576774.378157,3904,0,1
1,NewOrder,1779576774.382146,5659,0,1
1,NewOrder,1779576774.387860,4338,0,1
5,StockLevel,1779576774.392258,5001,0,1
2,Payment,1779576774.397344,2682,0,1
2,Payment,1779576774.400068,6807,0,1
2,Payment,1779576774.406975,3959,0,1
1,NewOrder,1779576774.410977,7638,0,1
1,NewOrder,1779576774.418698,5141,0,1
1,NewOrder,1779576774.423882,14992,0,1
1,NewOrder,1779576774.439096,16799,0,1
2,Payment,1779576774.456142,13336,0,1
2,Payment,1779576774.469586,3111,0,1
1,NewOrder,1779576774.472754,7386,0,1
1,NewOrder,1779576774.480195,6478,0,1
1,NewOrder,1779576774.486787,8523,0,1
1,NewOrder,1779576774.495361,8253,0,1
1,NewOrder,1779576774.503668,7352,0,1
1,NewOrder,1779576774.511090,11555,0,1
2,Payment,1779576774.522752,2990,0,1
1,NewOrder,1779576774.525794,10268,0,1
1,NewOrder,1779576774.536210,6806,0,1
2,Payment,1779576774.543068,8705,0,1
5,StockLevel,1779576774.551856,4147,0,1
2,Payment,1779576774.556057,2865,0,1
2,Payment,1779576774.558968,2556,0,1
2,Payment,1779576774.561562,2839,0,1
1,NewOrder,1779576774.564442,5046,0,1
5,StockLevel,1779576774.569552,2113,0,1
2,Payment,1779576774.571699,2782,0,1
2,Payment,1779576774.574557,2544,0,1
2,Payment,1779576774.577185,7574,0,1
2,Payment,1779576774.586765,46697,0,1
1,NewOrder,1779576774.633863,25034,0,1
2,Payment,1779576774.659000,5178,0,1
1,NewOrder,1779576774.664246,10801,0,1
2,Payment,1779576774.675148,8946,0,1
2,Payment,1779576774.684136,2488,0,1
1,NewOrder,1779576774.686667,7775,0,1
1,NewOrder,1779576774.694481,5173,0,1
2,Payment,1779576774.699688,2011,0,1
2,Payment,1779576774.701756,3731,0,1
2,Payment,1779576774.705553,2362,0,1
2,Payment,1779576774.707951,2293,0,1
2,Payment,1779576774.710280,1988,0,1
5,StockLevel,1779576774.712301,1837,0,1
4,Delivery,1779576774.714168,15384,0,1
1,NewOrder,1779576774.729598,7673,0,1
2,Payment,1779576774.737338,2052,0,1
1,NewOrder,1779576774.739453,5508,0,1
2,Payment,1779576774.745039,2449,0,1
1,NewOrder,1779576774.747531,6883,0,1
2,Payment,1779576774.754453,2813,0,1
1,NewOrder,1779576774.757339,7565,0,1
2,Payment,1779576774.764956,2528,0,1
2,Payment,1779576774.767527,2020,0,1
1,NewOrder,1779576774.769578,7848,0,1
2,Payment,1779576774.777490,2645,0,1
2,Payment,1779576774.780180,2578,0,1
2,Payment,1779576774.782797,2160,0,1
1,NewOrder,1779576774.785038,9334,0,1
1,NewOrder,1779576774.794608,9752,0,1
1,NewOrder,1779576774.804446,8513,0,1
2,Payment,1779576774.813083,4786,0,1
2,Payment,1779576774.817918,8291,0,1
2,Payment,1779576774.826278,3424,0,1
1,NewOrder,1779576774.829761,11083,0,1
2,Payment,1779576774.840904,5146,0,1
1,NewOrder,1779576774.846092,5130,0,1
1,NewOrder,1779576774.851260,11408,0,1
1,NewOrder,1779576774.862763,7008,0,1
1,NewOrder,1779576774.869856,5238,0,1
1,NewOrder,1779576774.875258,8070,0,1
2,Payment,1779576774.883391,14169,0,1
2,Payment,1779576774.897766,4163,0,1
1,NewOrder,1779576774.902005,8357,0,1
1,NewOrder,1779576774.910409,4693,0,1
1,NewOrder,1779576774.915139,6664,0,1
2,Payment,1779576774.921845,2246,0,1
2,Payment,1779576774.924127,1861,0,1
1,NewOrder,1779576774.926021,8949,0,1
