Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,150.800,6.556,0.923,2.293,4.228,7.145,12.046,15.966,44.823,225.786,0.153
5,321.000,3.080,0.554,1.160,2.199,3.755,6.498,8.556,14.657,38.100,0.325
10,459.200,2.157,0.449,0.822,1.552,2.788,3.785,5.733,10.477,53.190,0.464
15,530.200,1.865,0.365,0.744,1.544,2.492,3.137,4.882,7.547,26.283,0.536
20,528.400,1.870,0.360,0.731,1.457,2.548,3.206,5.231,8.247,42.658,0.535
25,568.000,1.750,0.356,0.721,1.126,2.471,3.151,4.384,5.906,22.716,0.571
30,572.800,1.736,0.352,0.712,1.388,2.492,3.073,3.655,6.145,32.072,0.576
35,481.800,2.064,0.334,0.757,1.562,2.679,3.519,5.291,8.691,142.277,0.485
40,387.200,2.502,0.443,0.805,1.662,2.915,3.981,6.076,18.067,113.107,0.400
45,454.000,2.188,0.377,0.777,1.502,2.786,3.744,5.704,12.790,74.268,0.457
50,507.000,1.960,0.358,0.766,1.469,2.758,3.542,5.156,7.688,33.347,0.510
55,492.000,2.020,0.385,0.765,1.545,2.678,3.425,5.473,7.889,77.283,0.495
