Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,42.000,5.248,1.286,2.351,3.226,5.375,8.944,12.498,23.456,150.597,0.191
5,88.200,2.960,0.919,1.651,2.156,2.919,4.118,6.352,18.791,46.352,0.338
10,132.400,1.980,0.640,1.086,1.477,2.112,3.622,5.009,11.664,20.142,0.505
15,170.000,1.422,0.621,0.823,1.287,1.511,1.870,2.492,7.452,27.767,0.703
20,190.200,1.251,0.613,0.765,1.237,1.415,1.674,2.002,4.533,11.611,0.799
25,193.600,1.161,0.566,0.715,0.945,1.406,1.647,2.046,4.069,11.418,0.861
30,246.200,0.799,0.612,0.692,0.723,0.784,0.886,1.007,1.647,14.816,1.251
35,249.200,0.779,0.584,0.699,0.731,0.782,0.872,0.948,1.484,15.130,1.284
40,188.000,1.145,0.600,0.709,0.766,0.956,1.683,3.001,7.224,23.543,0.873
45,232.800,0.937,0.602,0.706,0.756,0.836,1.059,1.434,3.914,41.409,1.067
50,238.200,0.812,0.586,0.692,0.737,0.808,0.944,1.112,2.331,7.439,1.231
55,169.600,1.250,0.584,0.744,0.834,1.087,2.272,3.006,5.840,51.055,0.800
