Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,29,29.000,5297,8497,14252,34379,24940,100173,150597,298096,298096
1,54,54.000,1830,6638,11411,18170,16775,31698,80982,171964,171964
2,92,92.000,2121,4813,7706,10744,12351,20025,35627,76594,76594
3,114,114.000,843,3122,5564,8618,8117,13232,16380,45355,203139
4,198,198.000,947,2291,3822,5010,6582,8129,11121,22219,69880
5,261,261.000,683,1909,3140,3796,5005,6152,10214,13731,18199
6,136,136.000,878,2362,4345,7260,6656,13891,25253,47467,92078
7,239,239.000,655,2057,3517,4180,5183,7162,10902,12859,24968
8,232,232.000,794,1865,3039,4259,4690,7984,12917,21482,53829
9,167,167.000,978,2639,4103,5911,6352,13042,16933,43480,46352
10,145,145.000,1008,2901,4554,6822,7079,13741,19800,45009,56972
11,237,237.000,815,1898,3047,4154,4366,8385,11293,22219,44006
12,306,306.000,701,1623,2775,3201,3993,5127,7745,10074,27833
13,452,452.000,419,1165,1749,2193,2814,3816,5768,6914,15752
14,359,359.000,477,1246,2020,2801,3293,5009,6632,17845,30052
15,351,351.000,634,1419,2317,2774,3624,4987,7037,9464,12172
16,399,399.000,478,1171,1902,2490,3179,3972,6348,10149,30275
17,433,433.000,466,1281,1910,2282,2992,3604,6204,7159,13184
18,414,414.000,397,1104,1802,2398,2857,3908,6240,9775,34881
19,430,430.000,494,1233,1927,2303,2980,3720,5852,7898,25740
20,439,439.000,498,1164,1848,2258,2963,3641,5579,7608,30749
21,445,445.000,440,1231,1882,2227,2963,3549,4690,6963,26408
22,441,441.000,453,1188,1881,2251,2930,3923,5891,7617,13444
23,479,479.000,403,1118,1694,2069,2771,3518,4154,6848,14512
24,442,442.000,441,1184,1774,2233,2867,3512,5983,7842,20396
25,461,461.000,393,1005,1595,2154,2894,3806,5882,8649,13681
26,434,434.000,410,1209,1848,2285,3053,3796,5687,7827,20344
27,375,375.000,343,1296,1919,2655,3097,5772,6878,11418,33601
28,401,401.000,392,1133,1912,2476,3101,5157,6418,10807,17299
29,560,560.000,349,728,1246,1772,2495,3106,4522,6874,18059
30,578,578.000,352,728,1264,1719,2449,3061,3764,5400,24013
31,590,590.000,332,709,1209,1686,2379,2978,3337,5492,20120
32,574,574.000,354,707,1463,1734,2453,3086,3965,5765,19579
33,565,565.000,367,732,988,1760,2454,3085,4833,5886,19482
34,549,549.000,398,732,1574,1813,2547,3166,4802,5582,15034
35,545,545.000,410,737,1638,1823,2542,3193,4951,5501,12427
36,566,566.000,355,761,1045,1758,2456,3192,3978,6114,30436
37,592,592.000,353,715,895,1675,2471,3079,4752,5578,15130
38,598,598.000,348,714,927,1662,2402,2936,4791,5184,15420
39,580,580.000,355,720,1470,1714,2438,3081,4332,5338,11229
40,558,558.000,363,731,1496,1782,2533,3090,4828,6741,14029
41,572,572.000,335,738,1083,1739,2514,3131,4257,5800,10744
42,571,571.000,337,723,1334,1739,2458,3110,4014,5403,20420
43,229,229.000,525,1494,3019,4312,5700,9507,13226,20084,23543
44,271,271.000,549,1166,2518,3666,4473,7358,9897,21603,29118
45,412,412.000,444,802,1563,2409,2999,5401,7340,11478,28242
46,530,530.000,406,746,1513,1878,2644,3295,4145,6012,41409
47,556,556.000,356,763,1498,1784,2524,3119,3743,6694,11789
48,549,549.000,359,750,1501,1811,2568,3182,4696,6443,12988
49,601,601.000,362,719,1195,1654,2320,2954,3380,5490,14718
50,559,559.000,314,726,1112,1787,2507,3150,4991,7213,16920
51,584,584.000,358,715,966,1694,2445,3110,3655,6333,26299
52,514,514.000,393,732,1502,1930,2631,3267,5043,11413,19931
53,511,511.000,375,772,1542,1942,2813,3393,4763,7244,10455
54,569,569.000,327,716,1429,1747,2512,3103,4369,6952,10237
55,288,288.000,376,826,1692,3468,2928,5702,9398,22092,211942
56,356,356.000,337,919,2199,2787,3461,6332,8032,14414,19383
57,385,385.000,375,810,1881,2570,2940,5307,7098,16983,51055
58,373,373.000,402,829,2059,2665,3159,6175,8071,12661,22019
59,480,480.000,365,799,1670,2053,2762,3801,5823,7661,17624
