Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,43.400,13.803,3.055,6.053,7.643,12.282,21.061,36.647,100.173,298.096,0.072
5,92.800,6.146,1.970,3.923,4.929,6.194,9.243,13.205,40.092,53.829,0.163
10,133.000,4.133,1.564,2.524,3.312,4.219,6.127,8.607,22.219,56.972,0.242
15,185.400,3.119,1.400,2.329,2.918,3.503,4.062,4.778,8.008,30.275,0.321
20,202.800,2.862,1.447,2.209,2.769,3.254,3.646,3.976,6.014,26.408,0.349
25,194.000,3.029,1.397,2.199,2.763,3.341,4.017,4.991,11.386,33.601,0.330
30,258.400,2.486,1.430,1.948,2.391,2.847,3.112,3.307,5.496,24.013,0.402
35,258.800,2.482,1.341,1.916,2.377,2.862,3.152,3.418,5.387,30.436,0.403
40,199.000,3.153,1.332,2.049,2.592,3.165,5.068,7.358,14.029,20.420,0.317
45,236.600,2.632,1.388,1.986,2.478,2.981,3.353,3.770,7.897,19.609,0.380
50,241.600,2.600,1.312,1.976,2.498,2.934,3.267,3.655,7.208,19.931,0.385
55,163.200,3.797,1.343,2.301,2.828,3.682,6.500,8.165,13.309,211.942,0.263
