Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1779399816.946115,298096,0,1
1,NewOrder,1779399817.248799,100173,0,1
1,NewOrder,1779399817.349099,42918,0,1
1,NewOrder,1779399817.392094,69111,0,1
2,Payment,1779399817.461257,150597,0,1
1,NewOrder,1779399817.611927,18691,0,1
1,NewOrder,1779399817.630657,24940,0,1
1,NewOrder,1779399817.655651,36647,0,1
1,NewOrder,1779399817.692340,15666,0,1
3,OrderStatus,1779399817.708054,25891,0,1
1,NewOrder,1779399817.734024,14252,0,1
1,NewOrder,1779399817.748332,13505,0,1
2,Payment,1779399817.761868,5891,0,1
1,NewOrder,1779399817.768854,14659,0,1
2,Payment,1779399817.783549,5297,0,1
2,Payment,1779399817.788900,7829,0,1
1,NewOrder,1779399817.796760,13127,0,1
2,Payment,1779399817.809946,10715,0,1
2,Payment,1779399817.820727,8376,0,1
2,Payment,1779399817.829142,12052,0,1
1,NewOrder,1779399817.841233,7944,0,1
1,NewOrder,1779399817.849212,7508,0,1
1,NewOrder,1779399817.856754,10122,0,1
5,StockLevel,1779399817.866917,14983,0,1
1,NewOrder,1779399817.881946,20306,0,1
2,Payment,1779399817.902454,8497,0,1
5,StockLevel,1779399817.911027,6552,0,1
1,NewOrder,1779399817.917644,18977,0,1
2,Payment,1779399817.936878,13674,0,1
1,NewOrder,1779399817.950667,31698,0,1
2,Payment,1779399817.982701,32275,0,1
1,NewOrder,1779399818.015132,11438,0,1
1,NewOrder,1779399818.026718,14937,0,1
1,NewOrder,1779399818.041736,19667,0,1
2,Payment,1779399818.061473,11003,0,1
5,StockLevel,1779399818.072551,5483,0,1
3,OrderStatus,1779399818.078195,5865,0,1
1,NewOrder,1779399818.084231,26087,0,1
1,NewOrder,1779399818.110506,28517,0,1
2,Payment,1779399818.140325,12966,0,1
2,Payment,1779399818.153357,13533,0,1
1,NewOrder,1779399818.166949,16194,0,1
2,Payment,1779399818.183523,14491,0,1
2,Payment,1779399818.199015,4372,0,1
2,Payment,1779399818.203448,6584,0,1
4,Delivery,1779399818.210109,34830,0,1
1,NewOrder,1779399818.245018,9159,0,1
1,NewOrder,1779399818.254231,13784,0,1
1,NewOrder,1779399818.268748,10968,0,1
4,Delivery,1779399818.279911,20573,0,1
4,Delivery,1779399818.300643,26335,0,1
2,Payment,1779399818.327064,4229,0,1
2,Payment,1779399818.331340,3477,0,1
2,Payment,1779399818.334857,4434,0,1
1,NewOrder,1779399818.339790,30897,0,1
1,NewOrder,1779399818.371256,14868,0,1
2,Payment,1779399818.386296,4651,0,1
1,NewOrder,1779399818.391075,12806,0,1
1,NewOrder,1779399818.403959,7787,0,1
2,Payment,1779399818.411906,5943,0,1
2,Payment,1779399818.419038,8226,0,1
2,Payment,1779399818.427339,6735,0,1
1,NewOrder,1779399818.434233,12164,0,1
1,NewOrder,1779399818.446453,11075,0,1
1,NewOrder,1779399818.458871,10101,0,1
1,NewOrder,1779399818.469012,9349,0,1
