Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1779576602.560883,7547,0,1
4,Delivery,1779576602.568475,3765,0,1
1,NewOrder,1779576602.572321,2814,0,1
1,NewOrder,1779576602.575170,2807,0,1
2,Payment,1779576602.578030,2146,0,1
2,Payment,1779576602.580207,2351,0,1
4,Delivery,1779576602.582625,4179,0,1
2,Payment,1779576602.586860,4245,0,1
2,Payment,1779576602.591272,4718,0,1
2,Payment,1779576602.596055,2757,0,1
2,Payment,1779576602.598864,2394,0,1
1,NewOrder,1779576602.601300,3400,0,1
2,Payment,1779576602.604756,2493,0,1
3,OrderStatus,1779576602.607301,3592,0,1
1,NewOrder,1779576602.610929,2886,0,1
2,Payment,1779576602.613906,2410,0,1
2,Payment,1779576602.616354,3136,0,1
1,NewOrder,1779576602.619539,2917,0,1
1,NewOrder,1779576602.622510,3070,0,1
2,Payment,1779576602.625675,2248,0,1
2,Payment,1779576602.627957,1935,0,1
3,OrderStatus,1779576602.629931,10240,0,1
4,Delivery,1779576602.640327,3302,0,1
2,Payment,1779576602.650078,2253,0,1
2,Payment,1779576602.652372,1819,0,1
2,Payment,1779576602.654223,1747,0,1
2,Payment,1779576602.656001,1852,0,1
4,Delivery,1779576602.657883,10218,0,1
2,Payment,1779576602.668152,3476,0,1
2,Payment,1779576602.671661,2210,0,1
3,OrderStatus,1779576602.673900,7810,0,1
1,NewOrder,1779576602.681748,2256,0,1
1,NewOrder,1779576602.684044,3222,0,1
1,NewOrder,1779576602.687300,3308,0,1
1,NewOrder,1779576602.690641,2162,0,1
2,Payment,1779576602.692834,1543,0,1
1,NewOrder,1779576602.694410,9888,0,1
2,Payment,1779576602.704334,1861,0,1
1,NewOrder,1779576602.706228,2075,0,1
2,Payment,1779576602.708334,1600,0,1
3,OrderStatus,1779576602.709961,2440,0,1
1,NewOrder,1779576602.712446,3038,0,1
2,Payment,1779576602.715535,2232,0,1
2,Payment,1779576602.717891,1917,0,1
2,Payment,1779576602.720027,1926,0,1
1,NewOrder,1779576602.721986,2514,0,1
1,NewOrder,1779576602.724535,2606,0,1
2,Payment,1779576602.727177,2199,0,1
1,NewOrder,1779576602.729410,2541,0,1
1,NewOrder,1779576602.731986,2405,0,1
2,Payment,1779576602.734427,1923,0,1
2,Payment,1779576602.736384,2957,0,1
1,NewOrder,1779576602.739376,7173,0,1
1,NewOrder,1779576602.746592,14466,0,1
1,NewOrder,1779576602.761133,4267,0,1
2,Payment,1779576602.765462,5678,0,1
4,Delivery,1779576602.771181,4486,0,1
2,Payment,1779576602.775725,2468,0,1
2,Payment,1779576602.778242,1934,0,1
2,Payment,1779576602.780209,1821,0,1
1,NewOrder,1779576602.782075,2414,0,1
1,NewOrder,1779576602.784540,2397,0,1
2,Payment,1779576602.786970,1786,0,1
2,Payment,1779576602.788800,3537,0,1
4,Delivery,1779576602.792379,2475,0,1
1,NewOrder,1779576602.794886,4279,0,1
1,NewOrder,1779576602.799213,2881,0,1
1,NewOrder,1779576602.802139,2639,0,1
1,NewOrder,1779576602.804826,2340,0,1
5,StockLevel,1779576602.807202,2244,0,1
1,NewOrder,1779576602.809482,2247,0,1
2,Payment,1779576602.811762,4773,0,1
1,NewOrder,1779576602.816578,2683,0,1
2,Payment,1779576602.819347,2194,0,1
1,NewOrder,1779576602.821621,2377,0,1
2,Payment,1779576602.824086,1698,0,1
5,StockLevel,1779576602.825815,2185,0,1
2,Payment,1779576602.828085,1711,0,1
1,NewOrder,1779576602.829872,2426,0,1
1,NewOrder,1779576602.832394,2275,0,1
2,Payment,1779576602.834806,1562,0,1
1,NewOrder,1779576602.836444,2102,0,1
2,Payment,1779576602.838669,1739,0,1
1,NewOrder,1779576602.840455,2318,0,1
1,NewOrder,1779576602.842828,2478,0,1
2,Payment,1779576602.845389,1691,0,1
1,NewOrder,1779576602.847141,8952,0,1
2,Payment,1779576602.856257,12804,0,1
2,Payment,1779576602.869119,2687,0,1
1,NewOrder,1779576602.871844,2882,0,1
2,Payment,1779576602.874760,3830,0,1
1,NewOrder,1779576602.878624,3365,0,1
1,NewOrder,1779576602.882022,2852,0,1
4,Delivery,1779576602.884963,2903,0,1
1,NewOrder,1779576602.888125,2998,0,1
2,Payment,1779576602.891198,1737,0,1
4,Delivery,1779576602.892969,4012,0,1
2,Payment,1779576602.897134,4331,0,1
2,Payment,1779576602.901649,9118,0,1
2,Payment,1779576602.910887,2283,0,1
2,Payment,1779576602.913220,1694,0,1
1,NewOrder,1779576602.914944,2408,0,1
1,NewOrder,1779576602.917391,2330,0,1
1,NewOrder,1779576602.919839,2236,0,1
1,NewOrder,1779576602.922109,2772,0,1
5,StockLevel,1779576602.924925,2829,0,1
2,Payment,1779576602.927789,2234,0,1
1,NewOrder,1779576602.930079,3373,0,1
1,NewOrder,1779576602.933494,2777,0,1
1,NewOrder,1779576602.936369,2331,0,1
2,Payment,1779576602.938752,1937,0,1
2,Payment,1779576602.940733,1768,0,1
2,Payment,1779576602.942554,1747,0,1
2,Payment,1779576602.944332,3198,0,1
2,Payment,1779576602.947640,2608,0,1
5,StockLevel,1779576602.950295,2967,0,1
2,Payment,1779576602.953358,2321,0,1
1,NewOrder,1779576602.955785,2720,0,1
2,Payment,1779576602.958740,2670,0,1
2,Payment,1779576602.961511,2391,0,1
2,Payment,1779576602.963978,2083,0,1
1,NewOrder,1779576602.966096,2282,0,1
5,StockLevel,1779576602.968424,2112,0,1
1,NewOrder,1779576602.970569,2456,0,1
1,NewOrder,1779576602.973074,2287,0,1
1,NewOrder,1779576602.975395,3809,0,1
2,Payment,1779576602.979251,2219,0,1
2,Payment,1779576602.981503,1725,0,1
2,Payment,1779576602.983260,1771,0,1
2,Payment,1779576602.985084,1818,0,1
4,Delivery,1779576602.986936,2291,0,1
1,NewOrder,1779576602.989257,2174,0,1
3,OrderStatus,1779576602.991463,2298,0,1
2,Payment,1779576602.993792,1752,0,1
2,Payment,1779576602.995575,1605,0,1
2,Payment,1779576602.997224,1521,0,1
2,Payment,1779576602.998775,1541,0,1
2,Payment,1779576603.000346,1642,0,1
4,Delivery,1779576603.002028,2364,0,1
2,Payment,1779576603.004435,1639,0,1
