Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,132.000,7.484,0.966,2.876,4.811,8.319,13.641,19.997,52.230,181.774,0.134
5,285.200,3.473,0.537,1.725,2.761,4.083,6.658,8.526,13.153,50.676,0.288
10,367.400,2.695,0.437,1.328,2.135,3.372,4.504,6.694,10.971,49.401,0.371
15,325.000,3.050,0.498,1.380,2.220,3.562,5.194,7.410,14.742,76.962,0.328
20,352.400,2.800,0.448,1.371,2.207,3.435,5.040,6.933,12.787,47.924,0.357
25,379.800,2.617,0.362,1.303,2.054,3.237,4.387,6.496,10.086,81.034,0.382
30,414.200,2.403,0.327,1.176,1.896,3.097,4.058,6.281,9.268,28.535,0.416
35,516.400,1.926,0.326,0.748,1.486,2.656,3.312,4.451,7.369,50.150,0.519
40,531.600,1.870,0.323,0.746,1.519,2.629,3.331,4.974,6.091,28.669,0.535
45,510.200,1.949,0.329,0.735,1.445,2.636,3.363,5.126,9.618,40.385,0.513
50,587.600,1.692,0.321,0.705,1.083,2.454,3.109,3.538,5.450,22.176,0.591
55,569.800,1.744,0.312,0.703,1.278,2.521,3.137,4.909,5.727,18.643,0.573
