Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,1.270,0.595,0.783,0.899,1.164,1.810,2.571,17.018,17.018,0.788
5,13.000,1.456,0.501,0.869,1.120,1.421,2.768,3.106,6.930,6.930,0.687
10,11.800,2.123,0.709,1.013,1.380,2.072,4.813,6.096,11.463,11.463,0.471
15,14.000,1.628,0.637,0.895,1.074,1.324,4.051,5.398,7.877,7.877,0.614
20,1.200,45.970,2.155,8.300,40.955,69.651,144.938,144.938,144.938,144.938,0.022
25,14.200,1.808,0.607,0.911,1.229,2.083,3.187,4.869,14.396,14.396,0.553
30,20.200,1.528,0.592,0.995,1.222,1.608,2.557,3.247,4.723,8.492,0.655
35,11.800,1.559,0.518,0.921,1.083,1.484,2.848,4.307,9.725,9.725,0.641
40,15.400,1.651,0.523,0.950,1.222,1.822,2.872,5.579,6.972,6.972,0.606
45,14.200,1.381,0.472,0.915,1.123,1.368,2.047,3.399,5.882,5.882,0.724
50,8.800,3.397,0.538,1.817,2.878,4.306,6.068,6.778,13.208,13.208,0.294
55,10.800,2.415,0.799,1.331,1.503,2.341,3.256,8.257,17.707,17.707,0.414
