Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,136.800,3.710,1.285,2.209,2.837,3.859,6.877,8.994,17.736,37.627,0.270
5,221.400,2.519,1.090,1.717,2.156,2.576,3.046,3.564,9.281,117.906,0.397
10,265.200,2.083,0.983,1.605,1.986,2.384,2.702,2.861,4.735,28.030,0.480
15,201.200,2.694,0.973,1.767,2.243,2.833,3.610,5.025,13.013,48.632,0.371
20,222.400,2.491,1.094,1.686,2.088,2.618,3.156,4.045,7.764,138.647,0.401
25,183.600,3.157,1.166,1.975,2.576,3.265,4.841,6.801,14.208,36.586,0.317
30,69.000,9.351,1.178,2.399,3.365,6.057,13.117,26.622,71.474,682.779,0.107
35,53.800,12.492,1.293,2.739,5.135,10.491,20.774,25.537,78.823,884.547,0.080
40,147.000,4.308,1.140,2.141,2.962,4.709,7.928,11.689,23.129,45.219,0.232
45,245.800,2.408,0.935,1.605,2.031,2.553,3.241,4.117,11.546,31.348,0.415
50,280.400,2.401,0.944,1.605,2.010,2.424,3.138,4.014,7.898,220.459,0.417
55,220.600,2.657,0.947,1.609,2.044,2.554,4.252,6.315,14.141,50.828,0.376
