Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,54,54.000,1535,6085,11168,18715,24414,37457,52827,127374,127374
1,105,105.000,1701,3874,6843,9326,9836,19997,25209,39951,81040
2,174,174.000,970,2593,3991,5666,7678,11866,13805,26097,26834
3,146,146.000,966,2778,4579,6746,6746,11093,13036,33696,181774
4,181,181.000,1003,2372,3748,5406,6471,10835,13543,18529,75030
5,270,270.000,931,1738,3014,3671,4649,7249,9548,12452,15003
6,239,239.000,786,1522,2862,4142,4900,8276,10809,20729,50676
7,288,288.000,729,1790,2771,3453,4375,6289,8416,11735,19865
8,292,292.000,745,1841,2758,3384,3816,6797,8504,12498,32979
9,337,337.000,537,1652,2554,2931,3613,4963,7095,9002,15037
10,291,291.000,461,1635,2387,3406,3798,6098,8445,24109,49401
11,388,388.000,662,1370,2175,2546,3500,4241,6406,8156,10047
12,396,396.000,513,1229,2005,2504,3381,4320,6140,8398,25205
13,326,326.000,614,1496,2374,3035,3629,5260,7380,14960,31279
14,436,436.000,437,1181,1778,2270,3000,3770,4716,8174,30911
15,298,298.000,552,1365,2316,3297,3591,5998,7367,27839,62699
16,396,396.000,498,1248,2129,2499,3384,4167,5902,8862,14742
17,325,325.000,675,1463,2421,3046,3684,6197,8563,13049,18164
18,390,390.000,527,1377,1913,2548,3453,4296,5484,8363,32732
19,216,216.000,524,1564,2637,4627,4053,9051,11728,44451,76962
20,265,265.000,560,1583,2699,3672,4107,7787,9878,22888,30437
21,293,293.000,597,1483,2436,3351,3902,6620,8408,16538,47924
22,410,410.000,495,1342,2092,2428,3113,3923,5040,8418,20259
23,419,419.000,448,1292,1992,2365,3059,3858,5067,8444,23650
24,375,375.000,579,1265,2086,2642,3405,5084,6368,12096,13181
25,348,348.000,456,1405,2252,2865,3670,5463,6650,10221,27198
26,418,418.000,362,1208,1920,2372,2945,3751,4548,9140,44477
27,313,313.000,365,1207,2188,3194,3269,5066,7594,22876,81034
28,391,391.000,428,1308,2138,2531,3323,4243,6156,8589,22387
29,429,429.000,462,1301,1840,2308,3111,3901,5789,7620,8432
30,432,432.000,345,1250,1764,2304,3055,3917,4881,7565,26333
31,366,366.000,443,1413,2197,2716,3483,4367,6714,10865,21722
32,418,418.000,380,1131,1849,2379,3017,4204,6436,8731,17480
33,463,463.000,327,1153,1723,2149,2914,3782,4525,7023,13371
34,392,392.000,389,959,1918,2542,3061,4738,6701,13396,28535
35,531,531.000,368,770,1594,1871,2667,3384,4168,6690,11980
36,391,391.000,417,788,1731,2548,2867,3938,5813,23996,50150
37,542,542.000,403,750,1367,1832,2743,3273,3689,5860,10882
38,552,552.000,326,734,1021,1798,2475,3169,3761,6142,49859
39,566,566.000,334,728,1116,1758,2547,3142,4787,5574,15886
40,555,555.000,335,723,1412,1787,2485,3220,4818,6414,24466
41,549,549.000,323,739,1584,1815,2610,3182,4991,5678,11320
42,518,518.000,399,774,1588,1917,2714,3412,4818,6067,12957
43,526,526.000,339,750,1614,1888,2720,3452,4981,5800,8231
44,510,510.000,388,753,1271,1951,2605,3457,5147,7675,28669
45,408,408.000,414,805,1794,2438,2820,3784,6358,19062,40385
46,489,489.000,341,743,1283,2029,2689,3660,5094,11231,27022
47,531,531.000,334,751,1130,1875,2694,3401,5238,7825,15652
48,531,531.000,374,717,1437,1872,2532,3254,5228,7027,19750
49,592,592.000,329,706,1425,1679,2422,3054,3331,5649,14755
50,571,571.000,346,706,1393,1744,2532,3115,5004,5605,16138
51,577,577.000,346,721,1089,1718,2448,3188,3538,5469,12933
52,633,633.000,321,689,843,1575,2293,2963,3329,5384,10512
53,569,569.000,335,707,1476,1745,2442,3147,4392,5395,22176
54,588,588.000,379,712,1351,1688,2531,3103,3357,5407,7993
55,577,577.000,355,695,875,1730,2450,3176,5014,5720,14650
56,559,559.000,325,716,1490,1777,2570,3220,4055,5926,9941
57,578,578.000,331,694,1338,1716,2450,3142,4971,6137,11063
58,569,569.000,312,697,1477,1747,2524,3105,4920,5451,9846
59,566,566.000,367,708,1461,1750,2554,3066,3665,5779,18643
