Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,125.600,2.600,0.538,1.087,1.498,2.244,4.134,6.888,17.295,170.248,0.385
5,200.400,1.266,0.418,0.631,1.098,1.313,1.826,2.569,6.730,23.788,0.790
10,241.400,1.041,0.426,0.549,0.979,1.176,1.377,1.663,5.431,28.633,0.961
15,189.800,1.553,0.418,0.637,1.061,1.364,1.798,2.487,6.111,275.632,0.644
20,209.400,1.211,0.437,0.574,1.001,1.208,1.530,1.822,5.316,95.951,0.826
25,162.600,1.621,0.483,0.754,1.286,1.604,2.448,3.508,9.186,39.754,0.617
30,62.600,4.064,0.537,1.070,1.574,2.993,7.698,16.001,39.244,108.304,0.246
35,45.800,4.676,0.534,0.846,1.675,4.637,9.171,17.044,54.505,94.602,0.214
40,133.400,1.666,0.513,0.721,0.882,1.452,2.979,4.903,12.953,41.143,0.600
45,244.800,0.938,0.427,0.574,0.655,0.797,1.284,2.009,6.898,22.849,1.067
50,239.800,0.825,0.434,0.563,0.625,0.783,1.197,1.729,3.738,20.382,1.212
55,204.000,1.188,0.375,0.552,0.624,0.801,1.441,3.170,8.229,128.550,0.842
