Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,56.000,5.021,1.145,2.129,2.901,4.735,8.824,11.083,29.985,181.774,0.199
5,120.000,2.279,0.717,1.302,1.770,2.493,3.954,6.179,10.744,17.260,0.439
10,156.200,1.524,0.636,0.922,1.374,1.652,2.168,2.757,7.336,15.648,0.656
15,140.600,1.741,0.612,1.046,1.454,1.782,2.395,3.267,7.991,62.699,0.574
20,151.400,1.713,0.580,0.933,1.398,1.833,2.559,3.605,8.836,25.137,0.584
25,161.400,1.524,0.627,0.826,1.354,1.600,2.046,2.596,8.015,44.477,0.656
30,177.000,1.331,0.623,0.793,1.303,1.515,1.865,2.218,3.779,21.722,0.751
35,221.400,0.880,0.599,0.712,0.753,0.849,0.996,1.188,2.971,17.286,1.136
40,217.600,0.838,0.609,0.703,0.746,0.828,0.966,1.100,2.446,9.446,1.194
45,226.400,0.955,0.589,0.692,0.742,0.840,1.088,1.420,5.084,22.634,1.048
50,257.200,0.768,0.564,0.684,0.709,0.766,0.873,0.980,1.346,10.512,1.302
55,248.000,0.773,0.581,0.680,0.706,0.773,0.866,0.933,1.547,11.063,1.293
