Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,111,111.000,1249,2687,4905,9079,9242,13626,26409,78656,154189
1,267,267.000,755,1522,2574,3583,4157,8245,10340,17237,19652
2,437,437.000,595,935,1659,2232,2656,4127,5988,9730,22923
3,520,520.000,531,817,1440,1903,2244,4042,5149,9368,11805
4,690,690.000,346,651,1143,1432,1836,2446,3455,6089,13348
5,606,606.000,404,703,1258,1623,1953,2893,3807,6546,24096
6,495,495.000,477,768,1550,1970,2315,3847,5616,9286,15681
7,319,319.000,461,924,1547,3084,2484,3742,6239,27134,230837
8,126,126.000,458,1015,2046,7750,4588,13519,24300,129323,210668
9,323,323.000,525,1048,2240,3017,3608,5900,9152,15917,23958
10,335,335.000,501,1133,2146,2918,3196,5349,7512,20121,58762
11,301,301.000,550,905,1976,3254,3369,6569,9191,19757,73163
12,87,87.000,533,1426,3153,11450,5847,11603,15572,524659,524659
13,424,424.000,457,855,1710,2320,2788,4394,6129,10921,49445
14,327,327.000,478,1179,2089,3000,3742,5520,7364,13119,58269
15,304,304.000,475,1000,1945,3266,3653,6394,8565,14497,129370
16,421,421.000,508,832,1756,2350,2719,4602,5811,11511,28518
17,501,501.000,434,760,1601,1978,2367,3533,4841,8566,38417
18,86,86.000,529,883,1729,28363,2850,5252,10259,2233845,2233845
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,1,1.000,1034181,1034181,1034181,1034181,1034181,1034181,1034181,1034181,1034181
21,1,1.000,1797528,1797528,1797528,1797528,1797528,1797528,1797528,1797528,1797528
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,38,38.000,1353,5042,12667,18925,23275,35537,69651,144938,144938
24,147,147.000,750,2828,4673,6690,9117,14014,16916,22330,40955
25,181,181.000,607,1821,3071,5444,5617,9090,14174,56417,142674
26,358,358.000,457,923,1904,2762,3285,5262,6858,12722,72546
27,285,285.000,391,891,1891,2994,3700,6434,8678,18722,26408
28,494,494.000,406,756,1623,2014,2542,3575,4915,8776,22117
29,555,555.000,362,601,1214,1768,2065,3551,4800,12393,22928
30,477,477.000,423,697,1403,2066,2317,3904,5034,8722,110785
31,499,499.000,382,826,1572,1972,2289,3597,4745,9507,34271
32,421,421.000,356,793,1642,2355,2801,4969,7052,11828,15816
33,470,470.000,317,738,1474,2118,2517,4256,5735,10357,42534
34,449,449.000,403,848,1672,2211,2757,4288,6799,10018,14928
35,571,571.000,364,652,1268,1735,2300,3128,4579,7166,25453
36,107,107.000,648,1348,3017,9110,8032,16501,19392,33913,350216
37,265,265.000,440,903,2038,3793,3217,6321,9725,41936,154064
38,428,428.000,309,740,1509,2332,2710,4799,7371,15423,18630
39,280,280.000,510,834,2293,3497,4162,8147,12489,24207,25632
40,379,379.000,405,812,1820,2622,3093,5066,6898,13768,55808
41,480,480.000,458,734,1534,2065,2466,4176,5579,11775,14929
42,461,461.000,351,773,1562,2155,2458,4125,5656,11910,33004
43,379,379.000,370,891,1780,2622,2934,4999,6972,18506,70365
44,583,583.000,344,686,1337,1701,2115,3151,4321,7322,22641
45,515,515.000,375,702,1447,1934,2200,3442,4349,8030,54948
46,573,573.000,399,655,1240,1726,2214,3423,4503,6467,17060
47,393,393.000,386,892,1733,2530,2890,4671,6360,22338,29879
48,247,247.000,470,1135,2304,4029,4442,8057,12206,29722,85651
49,155,155.000,651,2232,3851,6385,7322,13906,23472,36554,58846
50,173,173.000,361,1498,3065,5778,6778,12209,19677,56157,67922
51,141,141.000,578,2642,5133,6970,8537,13684,18289,26863,68429
52,264,264.000,475,1112,2213,3720,3406,7314,9856,25956,70913
53,264,264.000,524,1127,2363,3763,4376,7987,12581,29119,32349
54,253,253.000,410,1160,2487,3926,4748,9073,12559,20105,34366
55,303,303.000,401,920,2185,3261,4127,7926,10074,14231,22675
56,299,299.000,503,929,2048,3330,3572,5620,9562,19558,136354
57,203,203.000,638,1360,2514,5139,4503,8904,13548,55615,135190
58,378,378.000,361,858,1781,2496,2842,5547,6725,15677,24403
59,141,141.000,490,1051,2081,6466,4114,8851,21759,113273,156495
