Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.400,9.392,1.990,3.288,4.899,10.110,12.997,17.645,79.988,79.988,0.106
5,11.400,3.154,0.729,1.491,2.227,4.034,6.797,9.645,10.151,10.151,0.317
10,15.400,1.717,0.437,0.988,1.571,2.175,3.314,4.207,5.342,5.342,0.582
15,10.200,2.021,0.498,1.002,1.338,1.936,2.883,7.410,11.728,11.728,0.495
20,12.600,2.313,0.448,0.753,1.344,2.116,5.021,9.576,16.538,16.538,0.432
25,12.400,1.212,0.362,0.553,1.103,1.430,1.807,2.309,7.413,7.413,0.825
30,19.800,1.060,0.327,0.506,0.946,1.276,1.848,2.078,7.639,7.639,0.944
35,20.000,0.608,0.326,0.431,0.507,0.584,1.018,1.546,2.763,2.763,1.646
40,20.800,0.565,0.323,0.411,0.474,0.611,0.945,1.121,1.600,1.617,1.771
45,20.200,1.005,0.329,0.438,0.519,0.668,0.958,1.052,12.932,20.797,0.995
50,22.800,0.635,0.321,0.405,0.463,0.542,0.674,1.121,2.200,12.474,1.575
55,19.000,0.445,0.312,0.389,0.433,0.484,0.536,0.591,0.816,0.816,2.247
