Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.800,10.078,5.255,5.948,7.608,10.885,15.909,31.938,39.400,39.400,0.099
5,20.200,5.734,3.992,4.672,4.956,5.803,8.547,9.854,13.102,13.368,0.174
10,26.800,5.068,3.985,4.543,4.744,4.950,5.593,7.700,10.862,14.973,0.197
15,18.600,5.752,3.986,4.632,5.227,5.806,7.424,9.194,19.755,19.755,0.174
20,20.800,6.730,4.310,4.701,4.934,6.093,7.749,9.567,14.467,111.213,0.149
25,14.200,7.371,4.822,5.474,6.037,7.256,9.842,17.313,30.366,30.366,0.136
30,7.000,11.623,5.222,6.554,9.424,15.226,22.307,31.023,34.345,34.345,0.086
35,5.200,14.394,4.680,6.976,11.096,14.237,32.977,35.682,43.258,43.258,0.069
40,11.200,8.610,4.170,5.456,6.783,9.770,16.587,18.840,29.588,29.588,0.116
45,24.400,5.491,3.126,4.088,4.491,5.362,7.687,12.169,18.579,18.907,0.182
50,24.600,4.886,3.058,4.031,4.323,4.751,5.596,7.988,16.420,24.423,0.205
55,17.600,5.716,3.119,3.993,4.335,4.970,8.508,12.696,40.223,40.223,0.175
