Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,60.400,8.701,2.633,4.579,6.299,9.862,14.542,21.561,39.140,75.030,0.115
5,133.400,4.122,1.584,2.798,3.585,4.632,6.622,8.276,12.498,20.729,0.243
10,169.000,3.595,1.549,2.483,3.141,3.875,4.688,5.872,14.960,49.401,0.278
15,143.800,4.014,1.342,2.642,3.376,4.035,5.226,7.263,18.164,54.311,0.249
20,161.200,3.490,1.489,2.481,3.128,3.854,5.040,6.085,9.878,30.437,0.287
25,177.200,3.435,1.531,2.397,3.063,3.708,4.531,5.325,9.140,81.034,0.291
30,182.800,3.240,1.519,2.387,2.950,3.638,4.210,5.132,10.865,28.535,0.309
35,232.200,2.840,1.402,2.040,2.584,3.071,3.438,3.864,9.116,50.150,0.352
40,243.200,2.563,1.369,1.999,2.485,2.972,3.357,3.598,5.047,11.320,0.390
45,225.400,2.718,1.347,1.997,2.530,3.052,3.409,4.074,8.719,40.385,0.368
50,261.200,2.451,1.329,1.918,2.402,2.877,3.172,3.337,4.081,22.176,0.408
55,255.400,2.502,1.414,1.955,2.421,2.895,3.178,3.326,6.010,18.643,0.400
