Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.200,3.846,0.649,1.449,2.292,4.290,7.137,11.393,30.999,30.999,0.260
5,19.400,2.378,0.333,0.882,1.351,2.346,6.418,8.324,17.117,17.117,0.420
10,24.800,1.497,0.306,0.627,0.969,1.327,2.604,5.460,8.275,16.101,0.668
15,19.200,1.391,0.266,0.589,1.095,1.459,2.403,4.331,10.127,10.127,0.719
20,23.200,1.180,0.257,0.453,0.879,1.114,2.249,3.318,8.633,11.847,0.847
25,16.200,1.461,0.337,0.587,1.173,1.448,2.484,3.340,9.666,9.666,0.685
30,5.000,1.739,0.460,0.942,1.355,1.753,3.128,4.052,9.269,9.269,0.575
35,5.200,3.002,0.399,0.840,2.082,3.829,6.997,9.339,10.477,10.477,0.333
40,14.200,1.121,0.378,0.526,0.667,1.090,2.228,3.022,10.547,10.547,0.892
45,19.400,0.728,0.312,0.424,0.492,0.627,0.827,1.101,13.497,13.497,1.373
50,21.600,0.622,0.270,0.388,0.444,0.576,0.848,1.464,3.529,3.673,1.608
55,15.400,0.758,0.274,0.379,0.441,0.626,1.232,2.490,6.122,6.122,1.319
