Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.000,1.460,0.576,0.753,0.853,1.314,2.805,4.519,10.172,10.172,0.685
5,16.000,0.853,0.422,0.693,0.773,0.975,1.115,1.336,2.233,2.233,1.172
10,22.600,0.671,0.421,0.578,0.670,0.742,0.815,0.904,0.961,1.174,1.491
15,16.800,1.196,0.416,0.657,0.790,1.133,1.643,2.825,11.459,11.459,0.836
20,19.200,0.994,0.461,0.616,0.700,0.816,1.501,2.724,13.405,13.405,1.006
25,16.000,1.382,0.484,0.757,0.860,1.196,1.796,3.657,23.222,23.222,0.724
30,7.000,1.549,0.576,0.867,1.287,1.779,2.590,3.229,7.482,7.482,0.645
35,4.800,2.233,0.757,1.112,1.820,2.616,4.411,4.432,8.873,8.873,0.448
40,12.800,1.900,0.500,1.194,1.431,2.029,2.340,2.530,17.841,17.841,0.526
45,23.200,1.005,0.530,0.808,0.930,1.096,1.381,1.644,1.890,3.557,0.996
50,21.200,1.061,0.470,0.755,0.878,1.054,1.336,2.257,5.136,5.272,0.943
55,18.600,1.060,0.457,0.749,0.847,1.011,1.434,2.529,5.722,5.722,0.944
