Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.400,22.615,10.362,12.373,14.874,26.097,37.457,39.951,127.374,127.374,0.044
5,11.000,10.799,6.600,7.630,8.752,10.761,15.003,26.750,50.676,50.676,0.093
10,13.400,7.810,5.831,6.666,6.990,7.736,9.220,10.461,31.279,31.279,0.128
15,13.400,8.632,6.159,6.905,7.561,9.186,10.920,12.586,27.839,27.839,0.116
20,13.400,8.921,5.226,6.609,7.231,9.249,12.787,13.346,47.924,47.924,0.112
25,14.400,7.669,6.137,6.610,6.855,7.620,9.420,12.442,22.387,22.387,0.130
30,17.200,7.570,5.907,6.422,6.761,7.384,8.929,11.341,27.648,27.648,0.132
35,17.800,5.693,4.361,5.187,5.372,5.694,6.580,7.424,15.886,15.886,0.176
40,25.800,6.027,4.313,5.138,5.310,5.678,6.318,8.595,24.466,28.669,0.166
45,19.600,6.513,4.438,5.159,5.363,5.868,10.807,14.755,27.022,27.022,0.154
50,23.400,5.309,4.438,5.065,5.185,5.382,5.671,6.762,7.498,7.696,0.188
55,25.800,5.353,4.836,5.111,5.248,5.470,5.727,5.981,7.014,9.258,0.187
