Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,405.000,2.429,0.346,0.861,1.543,2.539,4.512,7.008,13.626,154.189,0.412
5,373.800,2.619,0.404,0.830,1.546,2.449,4.212,6.239,19.744,230.837,0.382
10,294.800,3.337,0.457,1.009,2.010,3.294,5.539,8.338,19.757,524.659,0.300
15,262.400,4.126,0.434,0.829,1.744,2.717,4.684,6.427,12.741,2233.845,0.242
20,37.400,24.248,0.750,3.135,5.795,11.185,20.370,29.098,1034.181,1797.528,0.041
25,374.600,2.565,0.362,0.781,1.659,2.859,4.926,6.833,16.272,142.674,0.390
30,463.200,2.137,0.317,0.775,1.548,2.502,4.156,5.738,10.179,110.785,0.468
35,330.200,2.997,0.309,0.754,1.637,2.848,5.248,8.845,19.392,350.216,0.334
40,456.400,2.176,0.344,0.756,1.556,2.538,4.205,5.669,11.775,70.365,0.460
45,376.600,2.636,0.375,0.797,1.678,2.770,5.041,7.331,20.504,85.651,0.379
50,219.000,4.522,0.361,1.279,2.609,5.060,9.774,15.373,27.735,70.913,0.221
55,264.800,3.688,0.361,0.980,2.048,3.818,6.808,10.056,24.403,156.495,0.271
